a/a	LAT	LON	Soil_cond	k	crustal amplification file	input_file
193	40.62147	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
194	40.6187	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
195	40.61593	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
196	40.61317	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
197	40.67027	22.9145	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
198	40.6675	22.919	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
199	40.66473	22.9235	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
200	40.66196	22.928	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
201	40.65919	22.9325	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
202	40.65643	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
203	40.65366	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
204	40.65089	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
205	40.64812	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
206	40.64535	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
207	40.64258	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
208	40.63981	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
209	40.63705	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
210	40.63428	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
211	40.63151	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
212	40.62874	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
213	40.62597	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
214	40.6232	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
215	40.62043	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
216	40.61767	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
217	40.67477	22.9145	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
218	40.672	22.919	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
219	40.66923	22.9235	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
220	40.66646	22.928	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
221	40.66369	22.9325	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
222	40.66093	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
223	40.65816	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
224	40.65539	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
225	40.65262	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
226	40.64985	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
227	40.64708	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
228	40.64431	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
229	40.64155	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
230	40.63878	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
231	40.63601	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
232	40.63324	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
233	40.63047	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
234	40.6277	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
235	40.62493	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
236	40.62217	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
237	40.67927	22.9145	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
238	40.6765	22.919	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
239	40.67373	22.9235	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
240	40.67096	22.928	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
241	40.66819	22.9325	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
242	40.66543	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
243	40.66266	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
244	40.65989	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
245	40.65712	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
246	40.65435	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
247	40.65158	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
248	40.64881	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
249	40.64605	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
250	40.64328	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
251	40.64051	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
252	40.63774	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
253	40.63497	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
254	40.6322	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
255	40.62943	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
256	40.62667	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
257	40.67823	22.9235	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
258	40.67546	22.928	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
259	40.67269	22.9325	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
260	40.66993	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
261	40.66716	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
262	40.66439	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
263	40.66162	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
264	40.65885	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
265	40.65608	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
266	40.65331	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
